smiles,jnk3
COC1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1,1
CNc1nccc(C(C#N)c2nc3ccccc3s2)n1,1
Cn1ccc(-c2cc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2F)n1,1
N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,1
COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,1
Oc1nnc(-c2ccnc(Nc3ccccc3)c2)n1-c1ccc2ccccc2c1,1
NC(=O)c1ccccc1Nc1ccnc(Oc2ccccc2)c1,1
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
CS(=O)(=O)Nc1ccc(-c2cnc3cccc(Nc4ncccn4)c3c2)cc1,1
CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,1
Cc1cccc(NC(=O)c2ccc(Cc3ccccc3)o2)c1N1CCC2(CC1)OCCO2,1
Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1,1
O=Nc1c(O)n(Cc2cc(F)cc3c2OCOC3)c2cccc(-c3cccc(F)c3)c12,1
O=[N+]([O-])C=Cc1ccc2c(c1)OCO2,1
COc1ccc(OC)c2c(S)c3ccccc3nc12,1
O=C(Cc1cccc2ncccc12)Nc1scc(Br)c1-c1ncn[nH]1,1
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,1
COc1ccc(CNC(=O)C2C=C(c3[nH]ncc3-c3cccc(Cl)c3)C=N2)cc1,1
COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5)ccc43)c2)cc(OC)c1OC,1
c1ccc2cc(-c3nc4ccccc4n3-c3ccnc(NC4CCOCC4)n3)ccc2c1,1
O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,1
COc1cc(C=C2C(=O)NN(c3ccc(C#N)cc3)C2=O)ccc1O,1
COc1ccccc1Nc1ccc2c(-c3ccccc3)n[nH]c2c1,1
Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(CCN2CCOCC2)n1,1
O=C(CN1C(=O)CCc2ncccc21)Nc1scc(Br)c1-c1ncn[nH]1,1
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,1
Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,1
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,1
O=C(C1CC1)N1CCCC(Nc2cc(-n3c(-c4cccc(O)c4)nc4ccccc43)ccn2)C1,1
COc1ccc(Oc2cc(Nc3ccccc3-c3ncn[nH]3)c(Cl)cn2)cc1,1
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,1
COc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(F)cn2)cc1,1
c1ccc2cc(-n3nncc3-c3ccncc3)ccc2c1,1
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,1
NC(=O)c1ccccc1Nc1cc(Oc2ccc(F)cc2)ncc1C(F)(F)F,1
Oc1nnc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2cccc(F)c2c1,1
C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2csc(C)n2)CC1,1
CNc1onc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)c1-c1ccc(F)cc1,1
N#Cc1c(NC(=O)c2ccc(F)c3ccccc23)sc2c1CCCC2,1
O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)c1ccco1,1
CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,1
CCc1cccc2c1c(N=O)c(O)n2Cc1cc(F)cc2c1OCOC2,1
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,1
C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc[nH]2)CC1,1
CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1,1
O=C(CN1C(=O)CCc2ccccc21)Nc1scc(Br)c1-c1ncn[nH]1,1
Clc1ccccc1Nc1ccc2c(-c3ccccc3)n[nH]c2c1,1
Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4cn[nH]c4)ccn3)cc2)n1,1
Oc1[nH]c2ccc(Br)cc2c1Cc1cc2c([nH]1)=CCCC=2,1
Fc1ccc(-c2conc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,1
COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C(C)C)c3n2)cc1,1
CNC(=O)c1ccccc1Nc1cc(Nc2ccc3ccccc3c2)ncc1C(F)(F)F,1
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,1
O=C(NCCCN1CCOCC1)c1cccc(-n2ncc3cc(Nc4ccccc4Cl)ccc32)c1,1
Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4cc[nH]n4)ccn3)cc2)n1,1
COc1ccc(CC(=O)Nc2ccsc2-c2nc(C(F)(F)F)n[nH]2)cc1,1
c1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,1
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,1
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCC3CCCO3)c2)[nH]1,1
COC(=O)c1ccc2c(c1)NC(=O)C2C(=Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1
Cc1ccc(-c2cccc3cnc(NC4CCC(C(=O)N5CCCC5)CC4)nc23)cn1,1
O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1,1
COc1cc(CC(=O)Nc2sccc2C(N)=O)cc(OC)c1OC,1
COc1cc2c(cc1OC)C(c1ccc(Cl)c(Cl)c1)=NCC2,1
O=C(NC(CO)c1ccc(F)c(F)c1)C1C=C(c2[nH]ncc2-c2cccc(Cl)c2)C=N1,1
O=C(NCc1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,1
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,1
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,1
Cc1n[nH]c(-c2c(C)csc2NC(=O)Cc2cccc3ncccc23)n1,1
COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C4CCOCC4)c3n2)cc1,1
c1ccc2cc(-c3n[nH]cc3-c3ccncc3)ccc2c1,1
CCOC(=O)N1CCN(C(=O)C2CCC(Cn3c(=S)[nH]c4ccccc4c3=O)CC2)CC1,1
