smiles,score
O=C(Cc1ccc(C(=O)O)cc1)NCC1CCCc2ccccc21,9.9
Cc1ncc(CN2Cc3ccccc3CC2C(=O)NCCc2ccc(F)cc2)o1,9.9
O=C(Cc1ccc2ccccc2c1)NC(CN1CCCC1=O)c1ccccc1,9.9
O=C(c1ccccc1Cc1ccccc1)N1CCCN(c2ccc(C(F)(F)F)cn2)CC1,9.9
O=C(O)COc1ccc(C(=O)N2CCC(Nc3ccc(F)cc3)CC2)cc1,9.9
O=C(c1cc2ccccc2c2cccnc12)N1CCN(c2ncccc2F)CC1,9.9
O=C(NCC(c1ccccc1)c1ccccc1)N1CCc2ccc(O)cc2C1,9.9
O=C(Cc1ccc(-n2cccn2)cc1)N1CCC(c2nnc3ccccn23)CC1,9.9
Cn1c(=O)ccc2ccc(NC(=O)N3CCCC(c4ccc(F)c(F)c4)C3)cc21,9.9
O=C(Cc1c[nH]c2ccccc12)N1CCN(C(=O)c2cc3ccccc3[nH]c2=O)CC1,9.9
Fc1ccc(CN2CCC3(CC2)CC3c2nnc(-c3ccccc3)o2)c2ncccc12,9.9
O=C(c1ccc(O)cc1)C1CCN(C(=O)NC2COc3ccccc32)CC1,9.9
c1cncc(-c2noc(C3CC34CCN(c3ncnc5ccccc35)CC4)n2)c1,9.9
O=C(Nc1ccc2c(c1)Cc1ccccc1-2)N1CCCC(N2CCCC2=O)C1,9.9
O=C(N1CCCC1)N1CCCC(c2nc(-c3ccc4ccccc4c3)no2)C1,9.9
Cc1nnc2n1CCN(C(=O)Nc1cccc(C(=O)c3ccccc3)c1)C2,9.9
O=C(C1CCc2[nH]nnc2C1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,9.9
O=C(NCc1ccc(F)cc1)c1nc2n(n1)-c1ccccc1S(=O)(=O)N2,9.9
COc1ccnc(N2CCN(C(=O)c3cc4ccccc4c4cccnc34)CC2)n1,9.9
O=C(c1cn(C2CCCNC2)nn1)N1CCc2c(-c3ccccc3)cccc21,9.9
NC(=O)c1cccc(CNS(=O)(=O)c2ccc3c4c(cccc24)CC3)c1,9.9
NC(=O)C1CCN(C(=O)CCc2c(-c3ccccc3)[nH]c3ccc(F)cc23)C1,9.9
O=C(Cn1ccc(=O)c2ccccc21)N1CCc2c(nnn2-c2ccccc2)C1,9.9
O=C(c1cc2ccccc2c(=O)[nH]1)N1CCCN(c2cccnn2)CC1,9.9
NC(=O)C1CCN(C(=O)CCc2c(-c3ccc(F)cc3)[nH]c3ccccc23)C1,9.9
O=C(NC1CCCCNC1=O)c1cc2ccccc2c2cccnc12,9.9
C[C@@H](NC(=O)NCc1noc2c1CCCC2)c1cccc2ccccc12,9.9
O=C(NCCc1ccc(C(F)(F)F)cc1)c1nc2n(n1)-c1ccccc1S(=O)(=O)N2,9.8
Cc1nn(Cc2nc(C3(c4ccc(C(F)(F)F)cc4)CCC3)no2)c(=O)n1C,9.8
Cc1noc(NC(=O)CCc2c(-c3ccc(F)cc3)[nH]c3ccccc23)n1,9.8
CC(=O)c1ccc(C(=O)N2CCC(c3nc(-c4ccccn4)no3)CC2)cc1,9.8
O=C(O)c1ccc(CCNC(=O)C2CCCc3c(O)cccc32)cc1,9.8
O=C(NCc1ccc2ccccc2c1)C1CCCN(C(=O)Cc2ccccc2)C1,9.8
O=C(c1ccc2c(c1)CCC2)N1CCN(C(=O)c2ccccc2O)CC1,9.8
Cn1cnnc1N1CCN(C(=O)Nc2cccc(-c3cccc(Cl)c3)c2)CC1,9.8
O=C(NCC1(c2ccc3c(c2)OCO3)CCOCC1)c1cc2ccccc2cc1O,9.8
O=C(COc1ccccc1-c1nc(CCc2ccccc2)no1)Nc1ccccc1F,9.8
O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)NCc2ccc3c(c2)OCO3)CC1,9.8
O=C1NCCC1Sc1nnc(-c2nn(Cc3ccccc3)c(=O)c3ccccc23)o1,9.8
O=C(Nc1cccc(-c2cn[nH]c2)c1)C1CCN(C(=O)c2ccc(F)cc2F)CC1,9.8
CC(NC(=O)c1nc2n(n1)-c1ccccc1S(=O)(=O)N2)c1cc2ccccc2o1,9.8
NC(=O)C1CCCN(Cc2ccccc2NC(=O)c2cc(-c3ccc(F)cc3)[nH]n2)C1,9.8
Cn1cc(-c2nc(C3COCCN3C(=O)c3ccc4c(c3)CCCC4)no2)cn1,9.8
O=C(Nc1cccc(-c2ccccc2)c1)N1CCCC(N2CCCC2=O)CC1,9.8
O=C(c1cnc2[nH]c(=O)[nH]c2c1)N1CCc2c(ncn2CCc2ccccc2)C1,9.8
Nc1nccc(C2CCCN(C(=O)c3ccc(=O)n(-c4ccccc4F)n3)C2)n1,9.8
NC(=O)c1ccc(C(=O)N2CCCc3cc(C(F)(F)F)ccc32)nc1,9.8
O=C(NCc1ccncc1)Nc1cccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)c1,9.8
NC(=O)c1ccc(CNC(=O)C2CCCN(C(=O)c3ccc(Cl)cc3)C2)cc1,9.7
NC(=O)c1cc(NC(=O)N2CCCC2c2ccc3c(c2)OCCO3)ccc1F,9.7
O=C(Nc1cccc(-c2cnco2)c1)C1(c2ccc(F)cc2)CCOCC1,9.7
O=C(NCCc1cccc(F)c1)c1cc2ccccc2nc1N1CCCC1,9.7
O=C(O)c1cccc2c1CCN(C(=O)C1CCc3ccccc3C1)C2,9.7
CC(C)n1ncc2c(C(=O)NCc3ccc(-c4nnn[nH]4)cc3)cc(-c3ccccc3)nc21,9.7
O=C(COc1ccc(C(=O)c2ccc(Cl)cc2)cc1)NC1CCN(Cc2ccccc2)CC1,9.7
NC(=O)c1ccc(C(=O)N2CCN(Cc3cccc4ccccc34)CC2)cn1,9.7
O=C(NCc1ccc2c(c1)CCC2)c1cc2cccc([N+](=O)[O-])c2[nH]1,9.7
O=C(CN1CCN(C(=O)c2cccc(F)c2)CC1)N1Cc2ccccc2C(c2ccccc2)C1,9.7
O=C(Cc1ccc(-n2cnnn2)cc1)Nc1ccnn1C1CCCc2ccccc21,9.7
COc1ccc2c(c1)C(C(=O)Nc1cc(-n3cnnn3)ccc1Cl)CCC2,9.7
O=C(Cn1nc(-c2ccccc2)ccc1=O)N1CCC(F)(c2ccccn2)CC1,9.7
O=C(NCC1(c2ccc3c(c2)OCO3)CCOCC1)c1ccc(C(F)(F)F)cc1,9.7
CCNC(=O)c1ccc(C)c(NC(=O)C2CCCN2C(=O)Cc2ccccc2)c1,9.7
O=C1CCCc2cc(S(=O)(=O)NC3Cc4ccccc4C3)ccc2N1,9.7
COCC(=O)Nc1c[nH]nc1C1CCCN(C(=O)c2ccc3ccccc3c2)C1,9.7
O=C(CCOc1cccc(F)c1)NCc1c(-c2ccc(F)cc2)nc2ccc(F)cn12,9.7
NC(=O)c1ccc(-c2noc(C3CCCN(C(=O)Cc4ccccc4)C3)n2)cc1,9.7
O=C(NCc1nn(-c2ccccc2)c2c1CCC2)c1ccc(C(F)(F)F)cc1,9.7
O=C(O)c1ccc(C(=O)N2CCCN(C(=O)Cc3cccc(F)c3)CC2)cc1,9.7
O=C(CCc1ccc(OC(F)F)cc1)N1CCCCC1c1nc(-c2cccc(F)c2)c[nH]1,9.7
O=C(Nc1c2c(nn1-c1ccccc1)CCC2)c1ccc2c(c1)COCO2,9.7
O=C(Nc1ccc(Oc2ccc(F)cc2)nc1)N1CCc2ccc(O)cc2C1,9.7
CNC(=O)c1cccc(NC(=O)N2CCCN(C(=O)c3cccc(F)c3)CC2)c1,9.7
O=C(NCc1ccccc1F)c1nc2n(n1)-c1ccccc1S(=O)(=O)N2,9.7
CCNC(=O)Nc1c[nH]nc1C1CCCN(C(=O)c2ccc3ccccc3c2)C1,9.6
N[C@@H]1CCN(C(=O)c2cccc(CS(=O)(=O)c3ccccc3)c2)C1,9.6
O=C(O)C1CCN(C(=O)CC2CCc3ccccc32)c2ccccc21,9.6
Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N4CCO[C@@H]5COCC[C@@H]54)c3)cc21,9.6
Cc1ccc(Oc2ccccc2NC(=O)C(=O)N2CCC(Nc3cccnn3)CC2)cc1,9.6
Cc1ccc(C(=O)N2CCC(NC(=O)COc3ccc(N4CCCC4=O)cc3)CC2)cc1,9.6
O=C(c1ccc(O)cc1)C1CCN(C(=O)NCCc2cccc(F)c2F)CC1,9.6
c1ccc(-c2nnc(-c3cnc4onc(C5CCCC5)c4c3)o2)cc1,9.6
O=C(c1ccc(-c2ccccc2)cc1)N1CCC(c2nc3ccccc3[nH]2)CC1,9.6
Cc1c(C(=O)N2CCOCC2C)nnn1-c1cccc2c1CCN(Cc1ccc(F)cc1)C2,9.6
O=C(NCc1nnc2n1CCCCC2)c1ccc(-c2ccccc2Cl)o1,9.6
O=C(NCCc1ccc(F)cc1)C1Cc2ccccc2CN1Cc1nc[nH]n1,9.6
O=C(O)c1ccc(CC(=O)N2CCCCC2c2cc3ccccc3[nH]2)cc1,9.6
O=C(c1cccn2c(=O)[nH]nc12)N1CCC(Cc2ccc(F)c(F)c2)CC1,9.6
Cc1cc(=O)c(C(=O)NCc2ccc(OCc3ccccn3)cc2)nn1-c1cccc(C(F)(F)F)c1,9.6
O=C(c1ccc2c(c1)CCC2)N1CCCc2cc(C(F)(F)F)ccc21,9.6
O=C(NC1CCc2nc(-c3ccc(F)cc3F)cn2C1)c1cnn2c1CCCC2,9.6
NC(=O)c1cccc(C(=O)N2CCN(Cc3cccc4ccccc34)CC2)n1,9.6
O=C(Nc1nccs1)C1CCCN1C(=O)Cc1cnc2ccccc2c1,9.6
O=C(c1cc(F)ccc1O)N1CCCC(c2n[nH]c(-c3ccccc3)n2)C1,9.6
O=C(O)c1cccc2c1CN(C(=O)c1ccc(N3CCCC3=O)cc1)CC2,9.6
COc1cc(NC(=O)NCc2cccc(OCc3ccccn3)c2)ccc1N1CCCC1=O,9.6
NC(=O)c1cc(F)ccc1N1CCN(C(=O)C2CCc3ccccc3C2)CC1,9.6
Nc1nnc(C2CCCN(C(=O)c3ccccc3-c3ccncc3)C2)o1,9.6
O=C(c1ccccc1)c1ccccc1C(=O)N1CCCN(C(=O)Nc2ccc(Cl)cc2)CC1,9.6
NC(=O)c1cc(-c2csc(NC(=O)CCNC(=O)c3ccc(F)cc3)n2)c[nH]1,9.6
Cn1cnnc1C1CCN(C(=O)c2ccc(C(=O)c3cccc(O)c3)cc2)CC1,9.6
COc1cc(NC(=O)NCc2cccc(COc3ccccc3)c2)ccc1N1CCCC1=O,9.6
O=C(NCc1ccc(-c2nnn[nH]2)cc1)C1CCCCN1C(=O)c1ccccc1,9.6
O=C(CCc1ccc2c(c1)OCCO2)N1CCCCC1c1nc(-c2cccc(F)c2)c[nH]1,9.6
O=C(NC1CCCN(Cc2nnc3n2CCCC3)C1)c1ccc2ccccc2c1,9.6
NC(=O)c1cc(NC(=O)C2(c3ccc(F)cc3)CCOCC2)ccc1F,9.6
Cc1[nH]nc2ncc(C(=O)N3CCc4c(ncn4CCc4ccccc4)C3)cc12,9.6
NC(=O)c1cccc2c1CCCN2C(=O)C1CCCN(C(=O)c2ccccc2)C1,9.6
NC(=O)C1(c2ccccc2)CCN(C(=O)CCc2ccc(C(=O)O)cc2)CC1,9.6
NC(=O)c1ccc(CN2CCN(C(=O)COc3ccc4c(c3)CCC4)CC2)cc1,9.5
CN(Cc1cccc(O)c1)C(=O)c1nn(-c2ccccc2)c2c1CCCCC2,9.5
O=C(c1cc2ccccc2c2cccnc12)N1CCN(c2nccs2)CC1,9.5
O=C(Cn1c(=O)oc2ccccc21)Nc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,9.5
COc1ccc2c(c1)OCC2CC(=O)N1CCCCC1c1nc(-c2cccc(F)c2)c[nH]1,9.5
O=C(c1ccccc1)N1CCC(NC(=O)N2CCc3ccccc32)CC1,9.5
O=C(NCc1ccccc1)C(c1ccccc1)N1CCN(C(=O)c2cc(Cl)ccc2Cl)CC1,9.5
O=C(c1csc(-c2ccc3c(c2)OCO3)n1)N1CCCC(c2nc(=O)[nH][nH]2)C1,9.5
Cc1cc(C(=O)NCCc2cccc(-c3ccccc3)c2)n(C2CCOCC2)n1,9.5
O=C(c1cc2ccccc2[nH]c1=O)N1CCC(Oc2ccccn2)C1,9.5
Cc1cccc(-c2ccc(C(=O)N3CCc4ccccc4C3)c(=O)[nH]2)c1,9.5
NC(=O)[C@]12CCC[C@H]1CN(C(=O)Cc1cccc3ccccc13)C2,9.5
Nc1cc2c(nn1)CCN(C(=O)CCc1ccc3ccccc3c1)C2,9.5
O=C(c1ccc(C(F)(F)F)cc1)N1CCC(c2nc(-c3ccc4[nH]nnc4c3)no2)CC1,9.5
NC(=O)c1cc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)ccc1F,9.5
O=C(Nc1cccc(Cl)c1)c1cn(-c2ccccc2)nc1-c1cccnc1,9.5
NC(=O)C1(c2ccccc2)CCN(C(=O)Cc2ccc(-n3cnnn3)cc2)CC1,9.5
O=C(c1cccc2nn[nH]c12)N1CCCC(c2n[nH]c(-c3ccccc3)n2)C1,9.5
Cc1ccc2[nH]c(C3CCCN(C(=O)COc4ccc(C(N)=O)cc4)C3)nc2c1,9.5
O=C(Cn1c(COc2ccccc2)nc2ccccc21)Nc1cccc(N2CCCCC2=O)c1,9.5
O=C(NCc1ccc2c(c1)OCO2)[C@H]1CCO[C@@H]1c1cnn(-c2ccccc2F)c1,9.5
O=C(c1ccc(Cl)cc1)c1ccccc1C(=O)N1CCCN(C(=O)Nc2cccc(Cl)c2)CC1,9.5
O=C1[C@H]2CC=CC[C@H]2C(=O)N1CC(O)Cc1ccc2ccccc2c1,9.5
Cc1oc(-c2ccccc2)nc1C(=O)N1CCC(C(=O)c2ccccc2)CC1,9.5
Cc1ccc(C(=O)c2ccccc2C(=O)N2CCCN(C(=O)Nc3cccc(Cl)c3)CC2)cc1C,9.5
COc1ccccc1N1CCN(C(=O)c2nc3n(n2)-c2ccccc2S(=O)(=O)N3)CC1,9.5
O=C(C1CCc2ccccc2O1)N1CCCCC1c1nc2ccccc2[nH]1,9.5
O=C(c1cccc(S(=O)(=O)N2CCCC(O)C2)c1)N1CCCc2ccccc21,9.5
O=C(CN1CCCCC1c1nnc(-c2ccccc2F)o1)Nc1nccs1,9.4
O=C1CCC(=O)N1CCC(=O)N1CCCc2c1cccc2C(F)(F)F,9.4
O=C(O)c1ccn(-c2cccc(CNC(=O)C3Cc4ccccc43)c2)n1,9.4
O=C(NCC1CCCCN1C(=O)c1cc2ccccc2[nH]c1=O)c1ccccc1,9.4
O=S(=O)(c1ccc2c(c1)OCCCO2)N1CC(O)Cc2ccccc21,9.4
O=C(c1ccc2nc[nH]c2n1)N1CCC(c2nccc(-c3ccc(F)cc3)n2)CC1,9.4
O=C(O)c1ccc(CCC(=O)N2C3CCC2c2ccccc23)cc1,9.4
NC(=O)c1ccc(CNC(=O)N2CCOC(c3ccc(F)c(Cl)c3)C2)cc1,9.4
Cc1ccnc(NC(=O)c2nc3ccccc3cc2C2CC2)c1C1CC1,9.4
O=C(O)c1cccc(CCNC(=O)c2cccc(C3CCOC3)c2)c1,9.4
NC(=O)c1cc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)ccc1F,9.4
CC(O)CSc1nnc(-c2nn(Cc3ccccc3)c(=O)c3ccccc23)o1,9.4
NC(=O)C1(CNC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2)CCOCC1,9.4
Cc1ccc(CC(=O)N2CCN(C(=O)c3c[nH]c(=O)c4ccccc34)CC2)cc1,9.4
NC(=O)c1cc(NC(=O)C2CCCC2Cc2ccccc2)ccc1F,9.4
O=C(O)CN1Cc2ccccc2CC1C(=O)NCCc1ccc(F)cc1,9.4
COc1ccc(C2CCCCCN2C(=O)NCc2cc3ccccc3[nH]2)cc1,9.4
Cn1c(=O)[nH]c2cc(C(=O)N3CCC(F)(c4ccccc4)CC3)ccc21,9.4
O=C(c1ccc(F)cc1F)N1CCN(C(=O)c2c[nH]c(=O)c3ccccc23)CC1,9.4
O=C(CCOc1ccccc1)NCc1c(-c2ccc(F)cc2)nc2ccc(C(F)(F)F)cn12,9.4
Cc1ccccc1-n1nccc1[C@H]1OCC[C@@H]1C(=O)Nc1ccc2c(c1)CCC(=O)N2,9.4
O=C(NCC1CCCCN1C(=O)c1cccc(C(=O)O)n1)c1ccccc1,9.4
